"V1","V2","V3","V4"
1296895,797,18,9
1296895,2719,123,2
1296895,2484,5,0
1296895,0,0,0
1296895,0,0,0
1296895,4720,3,0
1296895,77,3,0
1296895,26205,13,13
1296895,42587,9,2
1296895,0,0,0
1296895,48,0,0
1296895,20,0,0
1296895,42587,0,0
1296895,1858,0,0
1296895,2536,0,0
1296895,655,117,0
1296895,3822,225,0
1296895,1786,2,0
1296895,25,4,0
1296895,21732,0,0
1296895,36455,116,0
1296895,56,0,0
1296895,2577,0,0
1296895,5,0,0
1296895,1324,357,0
1296895,3822,0,0
1296895,5021,4,0
1296895,7575,0,0
1296895,14933,0,0
1296895,14933,2,0
1296895,1072,11,10
1296895,109,0,0
1296895,26205,0,0
1296895,32442,2,0
1296895,185,0,0
1296895,4375,35,15
1296895,40,0,0
1296895,26205,8,5
1296895,34,0,0
1296895,32442,150,0
1296895,0,0,0
1296895,6154,0,0
1296895,63276,2127,0
1296895,63276,1281,0
1296895,2728,13,0
1296895,336,0,0
1296895,29,13,0
1296895,3,0,0
1296895,1475,0,0
1296895,6426,0,0
1296895,631,207,0
1296895,24,0,0
1296895,34,0,0
1296895,42587,0,0
1296895,63276,140,0
1296895,32442,32,0
1296895,42587,366,25
1296895,32442,2,0
1296895,42587,2,0
1296895,4183,339,2
1296895,851,28,12
1296895,2255,58,0
1296895,4850,0,0
1296895,141,0,0
1296895,4375,0,0
1296895,2255,353,0
1296895,3,0,0
1296895,1475,0,0
1296895,63276,4567,0
1296895,0,0,0
1296895,8444,1337,2
1296895,14,0,0
1296895,4183,36,0
1296895,26,3,0
1296895,42587,79,0
1296895,0,0,0
1296895,69,0,0
1296895,254,0,0
1296895,4720,6,0
1296895,0,0,0
1296895,14933,0,0
1296895,33569,507,119
1296895,8738,0,0
1296895,21732,0,0
1296895,128,0,0
1296895,15265,0,0
1296895,379,92,0
1296895,63276,576,0
1296895,1238,15,2
1296895,2299,0,0
1296895,15265,22,0
1296895,0,0,0
1296895,11929,3,0
1296895,626,116,0
1296895,33569,70,0
1296895,63276,4567,16
1296895,8988,3,0
1296895,42587,0,0
1296895,7224,7,7
1296895,17365,0,0
1296895,7434,159,0
1296895,36455,1035,0
1296895,69,0,0
1296895,42587,26,6
1296895,2211,57,0
1296895,301,0,0
1296895,11929,0,0
1296895,8402,246,0
1296895,0,0,0
1296895,33569,396,0
1296895,2430,52,0
1296895,2719,7,0
1296895,32442,196,0
1296895,17365,0,0
1296895,459,9,0
1296895,120,0,0
1296895,18288,0,0
1296895,33,0,0
1296895,1475,53,0
1296895,2307,60,0
1296895,204,0,0
1296895,3526,37,5
1296895,1309,0,0
1296895,103,0,0
1296895,0,0,0
1296895,33569,1059,0
1296895,63276,2,2
1296895,0,0,0
1296895,21732,4,0
1296895,32442,0,0
1296895,0,0,0
1296895,844,397,0
1296895,42587,30,2
1296895,11929,144,2
1296895,0,0,0
1296895,32442,0,0
1296895,63276,0,0
1296895,4897,0,0
1296895,8988,0,0
1296895,181,3,0
1296895,63276,17,0
1296895,63276,0,0
1296895,17365,0,0
1296895,55,0,0
1296895,32442,66,0
1296895,42587,26,2
1296895,14933,0,0
1296895,17365,1147,0
1296895,27,0,0
1296895,4759,0,0
1296895,42587,98,0
1296895,8738,56,0
1296895,3,0,0
1296895,1363,0,0
1296895,1854,2,0
1296895,32442,0,0
1296895,6,2,0
1296895,1211,109,0
1296895,3195,0,0
1296895,1545,2,0
1296895,13,0,0
1296895,2137,0,0
1296895,12,0,0
1296895,21732,0,0
1296895,5489,0,0
1296895,36455,22,0
1296895,53,0,0
1296895,133,4,0
1296895,362,2,0
1296895,2577,0,0
1296895,0,0,0
1296895,652,0,0
1296895,14933,2,0
1296895,85,0,0
1296895,26205,0,0
1296895,7575,0,0
1296895,63276,1281,0
1296895,21732,0,0
1296895,17365,0,0
1296895,239,0,0
1296895,679,54,0
1296895,32442,0,0
1296895,2,0,0
1296895,25,0,0
1296895,42587,46,0
1296895,2582,0,0
1296895,1747,0,0
1296895,32442,4,0
1296895,32442,0,0
1296895,49,0,0
1296895,11929,0,0
1296895,33569,135,0
1296895,36455,0,0
1296895,146,3,0
1296895,12,0,0
1296895,8,0,0
1296895,4850,0,0
1296895,4720,0,0
1296895,17365,0,0
1296895,44,13,0
1296895,571,20,0
1296895,830,0,0
1296895,32442,0,0
1296895,7575,0,0
1296895,5,4,0
1296895,66,0,0
1296895,15265,62,0
1296895,17365,1147,20
1296895,2484,0,0
1296895,8988,0,0
1296895,111,0,0
1296895,3195,0,0
1296895,285,2,0
1296895,1475,13,0
1296895,0,0,0
1296895,15265,63,0
1296895,4458,845,14
1296895,63276,4236,0
1296895,15265,139,0
1296895,32442,0,0
1296895,4179,0,0
1296895,60,10,0
1296895,18288,7,0
1296895,8536,134,0
1296895,4375,219,86
1296895,4759,3,0
1296895,1369,71,0
1296895,0,0,0
1296895,455,289,0
1296895,8444,1337,2
1296895,280,0,0
1296895,56,3,0
1296895,51,0,0
1296895,26205,3,0
1296895,17365,2,0
1296895,237,34,0
1296895,0,0,0
1296895,2966,18,10
1296895,477,12,0
1296895,72,0,0
1296895,26,0,0
1296895,33569,77,0
1296895,2855,0,0
1296895,2719,0,0
1296895,63276,0,0
1296895,2,0,0
1296895,21732,15,0
1296895,21732,36,0
1296895,6154,0,0
1296895,157,0,0
1296895,3526,94,0
1296895,15,0,0
1296895,4437,0,0
1296895,1176,6,0
1296895,21732,172,0
1296895,45,0,0
1296895,127,0,0
1296895,6154,0,0
1296895,32442,27,5
1296895,1931,14,0
1296895,25,0,0
1296895,14933,0,0
1296895,17,0,0
1296895,418,0,0
1296895,63276,108,0
1296895,1238,352,7
1296895,15265,45,2
1296895,33569,391,54
1296895,782,0,0
1296895,241,0,0
1296895,26205,0,0
1296895,8444,1417,24
1296895,2855,0,0
1296895,8738,14,0
1296895,15933,0,0
1296895,52,0,0
1296895,2061,164,0
1296895,36455,132,0
1296895,17,0,0
1296895,3822,0,0
1296895,33569,2,0
1296895,2966,4,0
1296895,42587,1146,13
1296895,0,0,0
1296895,0,0,0
1296895,165,0,0
1296895,4,0,0
1296895,4458,813,2
1296895,17365,0,0
1296895,18,2,0
1296895,32442,13,0
1296895,888,5,0
1296895,9,0,0
1296895,3596,0,0
1296895,0,0,0
1296895,5021,183,0
1296895,42587,294,0
1296895,119,0,0
1296895,122,7,0
1296895,3,0,0
1296895,186,0,0
1296895,33569,961,57
1296895,2577,116,0
1296895,2675,97,50
1296895,8,0,0
1296895,8738,0,0
1296895,17,0,0
1296895,521,18,0
1296895,6165,0,0
1296895,32,0,0
1296895,0,0,0
1296895,7439,0,0
1296895,27,0,0
1296895,63276,2186,0
1296895,8738,212,3
1296895,1856,39,0
1296895,14933,70,0
1296895,8988,0,0
1296895,1295,0,0
1296895,1635,0,0
1296895,42587,145,0
1296895,13,0,0
1296895,14933,234,0
1296895,2,0,0
1296895,214,7,0
1296895,1517,2,0
1296895,80,0,0
1296895,7434,0,0
1296895,15265,103,0
1296895,3526,0,0
1296895,3,0,0
1296895,0,0,0
1296895,1888,10,0
1296895,2,0,0
1296895,2,0,0
1296895,21732,10,0
1296895,4282,0,0
1296895,22,0,0
1296895,32442,0,0
1296895,61,0,0
1296895,2,2,0
1296895,115,0,0
1296895,0,0,0
